,time,word,freq,group
0,1,shitskin,0.198897048,gain
1,2,shitskin,0.280436679,gain
2,3,shitskin,0.526856307,gain
3,4,shitskin,0.791480262,gain
4,5,shitskin,0.594215132,gain
5,6,shitskin,0.278607805,gain
6,7,shitskin,0.57944346,gain
7,8,shitskin,1.241298782,gain
8,9,shitskin,0.480796826,gain
9,10,shitskin,0.548127515,gain
10,11,shitskin,0.55082862,gain
11,12,shitskin,0.711319321,gain
12,13,shitskin,0.72111083,gain
13,14,shitskin,0.602515405,gain
14,15,shitskin,0.449058833,gain
15,16,shitskin,1.012239385,gain
16,17,shitskin,1.515179652,gain
17,18,shitskin,1.763259334,gain
18,19,shitskin,2.179904899,gain
19,20,shitskin,2.219042796,gain
20,21,shitskin,2.244421935,gain
21,22,shitskin,2.510959174,gain
22,1,deathnic,0.0,gain
23,2,deathnic,0.0,gain
24,3,deathnic,0.0,gain
25,4,deathnic,0.56230647,gain
26,5,deathnic,0.432696561,gain
27,6,deathnic,0.445819749,gain
28,7,deathnic,1.038206334,gain
29,8,deathnic,0.64097187,gain
30,9,deathnic,0.0,gain
31,10,deathnic,0.414854924,gain
32,11,deathnic,0.829709848,gain
33,12,deathnic,0.539820109,gain
34,13,deathnic,0.664121762,gain
35,14,deathnic,0.868931959,gain
36,15,deathnic,0.96676606,gain
37,16,deathnic,1.077280993,gain
38,17,deathnic,1.421948982,gain
39,18,deathnic,1.172239789,gain
40,19,deathnic,1.980053083,gain
41,20,deathnic,1.60110261,gain
42,21,deathnic,1.481003326,gain
43,22,deathnic,1.862165572,gain
44,1,cumskin,0.0,gain
45,2,cumskin,0.0,gain
46,3,cumskin,0.366225611,gain
47,4,cumskin,0.108469762,gain
48,5,cumskin,0.0,gain
49,6,cumskin,0.0,gain
50,7,cumskin,0.1184122,gain
51,8,cumskin,0.0,gain
52,9,cumskin,0.0,gain
53,10,cumskin,0.0,gain
54,11,cumskin,0.0,gain
55,12,cumskin,0.0,gain
56,13,cumskin,0.46465949,gain
57,14,cumskin,1.486787023,gain
58,15,cumskin,1.266726471,gain
59,16,cumskin,1.017604844,gain
60,17,cumskin,1.559841519,gain
61,18,cumskin,2.136372131,gain
62,19,cumskin,1.789265157,gain
63,20,cumskin,0.884335053,gain
64,21,cumskin,0.908331464,gain
65,22,cumskin,0.892969276,gain
66,1,noodlewhore,0.0,gain
67,2,noodlewhore,0.10273793,gain
68,3,noodlewhore,0.257860228,gain
69,4,noodlewhore,0.591003457,gain
70,5,noodlewhore,0.642541656,gain
71,6,noodlewhore,0.413789641,gain
72,7,noodlewhore,0.512726319,gain
73,8,noodlewhore,1.388654393,gain
74,9,noodlewhore,0.717303938,gain
75,10,noodlewhore,0.784437682,gain
76,11,noodlewhore,0.810161218,gain
77,12,noodlewhore,0.844515678,gain
78,13,noodlewhore,0.94291862,gain
79,14,noodlewhore,1.182384436,gain
80,15,noodlewhore,1.127227238,gain
81,16,noodlewhore,1.229665754,gain
82,17,noodlewhore,1.162115435,gain
83,18,noodlewhore,1.508602098,gain
84,19,noodlewhore,1.423698806,gain
85,20,noodlewhore,1.782656698,gain
86,21,noodlewhore,1.30634168,gain
87,22,noodlewhore,2.268657096,gain
88,1,slav,0.345004557,gain
89,2,slav,0.401324557,gain
90,3,slav,0.416340253,gain
91,4,slav,0.588820253,gain
92,5,slav,0.84435443,gain
93,6,slav,0.429172658,gain
94,7,slav,0.266227848,gain
95,8,slav,0.567210127,gain
96,9,slav,0.553932152,gain
97,10,slav,2.415432911,gain
98,11,slav,1.472964051,gain
99,12,slav,0.613237468,gain
100,13,slav,0.550055696,gain
101,14,slav,0.576878987,gain
102,15,slav,1.157723544,gain
103,16,slav,1.59104,gain
104,17,slav,1.111829873,gain
105,18,slav,1.295627342,gain
106,19,slav,1.175858228,gain
107,20,slav,0.939483544,gain
108,21,slav,2.32115038,gain
109,22,slav,2.366331139,gain
110,1,foid,0.026699724,gain
111,2,foid,0.048432771,gain
112,3,foid,0.124032768,gain
113,4,foid,0.306960518,gain
114,5,foid,0.667763717,gain
115,6,foid,0.837477368,gain
116,7,foid,1.027561401,gain
117,8,foid,1.309243927,gain
118,9,foid,1.191087196,gain
119,10,foid,1.179770114,gain
120,11,foid,1.186495069,gain
121,12,foid,1.245415693,gain
122,13,foid,1.193606479,gain
123,14,foid,1.197016347,gain
124,15,foid,1.364209342,gain
125,16,foid,1.204030686,gain
126,17,foid,1.244157883,gain
127,18,foid,1.323674627,gain
128,19,foid,1.248747721,gain
129,20,foid,1.387429142,gain
130,21,foid,1.366713057,gain
131,22,foid,1.319474449,gain
132,1,curryland,0.0,gain
133,2,curryland,0.885563918,gain
134,3,curryland,0.693627264,gain
135,4,curryland,0.37212501,gain
136,5,curryland,0.617072285,gain
137,6,curryland,0.336975625,gain
138,7,curryland,0.836899213,gain
139,8,curryland,0.932557118,gain
140,9,curryland,0.0,gain
141,10,curryland,0.895975013,gain
142,11,curryland,0.747306487,gain
143,12,curryland,0.907102468,gain
144,13,curryland,1.91396997,gain
145,14,curryland,1.685212425,gain
146,15,curryland,1.022006571,gain
147,16,curryland,0.642335906,gain
148,17,curryland,0.912642317,gain
149,18,curryland,1.405306793,gain
150,19,curryland,0.651027737,gain
151,20,curryland,1.326077405,gain
152,21,curryland,1.596288301,gain
153,22,curryland,1.619928173,gain
154,1,aryan,0.475948603,gain
155,2,aryan,0.638650742,gain
156,3,aryan,0.770592943,gain
157,4,aryan,0.86632744,gain
158,5,aryan,0.787999215,gain
159,6,aryan,0.931301998,gain
160,7,aryan,1.000661342,gain
161,8,aryan,0.932896465,gain
162,9,aryan,0.846595902,gain
163,10,aryan,0.674194084,gain
164,11,aryan,0.732259282,gain
165,12,aryan,0.830119736,gain
166,13,aryan,0.905989823,gain
167,14,aryan,0.905923387,gain
168,15,aryan,0.839022181,gain
169,16,aryan,0.91934349,gain
170,17,aryan,0.977076507,gain
171,18,aryan,1.334170832,gain
172,19,aryan,1.209868789,gain
173,20,aryan,0.983387942,gain
174,21,aryan,1.146422262,gain
175,22,aryan,3.291247037,gain
176,1,ricecel,0.203995598,gain
177,2,ricecel,0.344808626,gain
178,3,ricecel,0.318387572,gain
179,4,ricecel,0.675374733,gain
180,5,ricecel,0.608516013,gain
181,6,ricecel,0.692584872,gain
182,7,ricecel,0.704876362,gain
183,8,ricecel,1.570907808,gain
184,9,ricecel,0.876905872,gain
185,10,ricecel,1.138272022,gain
186,11,ricecel,1.297825208,gain
187,12,ricecel,1.077256124,gain
188,13,ricecel,1.284763575,gain
189,14,ricecel,1.258229566,gain
190,15,ricecel,1.126401544,gain
191,16,ricecel,1.358522781,gain
192,17,ricecel,1.1802089,gain
193,18,ricecel,1.171788665,gain
194,19,ricecel,1.167527205,gain
195,20,ricecel,1.284167998,gain
196,21,ricecel,1.242898577,gain
197,22,ricecel,1.415780379,gain
198,1,whore,0.599562207,gain
199,2,whore,0.562978665,gain
200,3,whore,0.751661095,gain
201,4,whore,0.742991919,gain
202,5,whore,0.757009086,gain
203,6,whore,0.677161748,gain
204,7,whore,1.071088331,gain
205,8,whore,1.35708273,gain
206,9,whore,0.955351995,gain
207,10,whore,0.984933268,gain
208,11,whore,0.977608982,gain
209,12,whore,1.163873135,gain
210,13,whore,1.085774786,gain
211,14,whore,1.158196814,gain
212,15,whore,1.131879899,gain
213,16,whore,1.238183061,gain
214,17,whore,1.278940183,gain
215,18,whore,1.121947915,gain
216,19,whore,1.232980292,gain
217,20,whore,1.101660908,gain
218,21,whore,1.077920121,gain
219,22,whore,0.971212861,gain
220,1,racepill,0.0,lose
221,2,racepill,0.0,lose
222,3,racepill,1.233925485,lose
223,4,racepill,2.311293836,lose
224,5,racepill,2.01916567,lose
225,6,racepill,1.1076407,lose
226,7,racepill,1.371787398,lose
227,8,racepill,1.454054552,lose
228,9,racepill,1.050736866,lose
229,10,racepill,0.504975506,lose
230,11,racepill,0.616205934,lose
231,12,racepill,0.617883186,lose
232,13,racepill,0.624019472,lose
233,14,racepill,1.186798801,lose
234,15,racepill,0.64079199,lose
235,16,racepill,0.862598308,lose
236,17,racepill,0.745845222,lose
237,18,racepill,0.963233414,lose
238,19,racepill,0.848362123,lose
239,20,racepill,0.612237802,lose
240,21,racepill,0.40781763,lose
241,22,racepill,0.820626106,lose
242,1,stacie,1.494178927,lose
243,2,stacie,1.458640221,lose
244,3,stacie,1.326215049,lose
245,4,stacie,1.177847163,lose
246,5,stacie,1.07307011,lose
247,6,stacie,1.061302574,lose
248,7,stacie,0.969138034,lose
249,8,stacie,0.946137284,lose
250,9,stacie,0.719944602,lose
251,10,stacie,1.017823576,lose
252,11,stacie,1.066745215,lose
253,12,stacie,0.959893,lose
254,13,stacie,0.846579202,lose
255,14,stacie,0.981315633,lose
256,15,stacie,0.723162967,lose
257,16,stacie,0.638652918,lose
258,17,stacie,0.794936243,lose
259,18,stacie,0.933425362,lose
260,19,stacie,0.850605265,lose
261,20,stacie,0.920067282,lose
262,21,stacie,1.194610001,lose
263,22,stacie,0.845709373,lose
264,1,jb,1.273207431,lose
265,2,jb,1.170555016,lose
266,3,jb,1.033773318,lose
267,4,jb,1.323316625,lose
268,5,jb,1.0465255,lose
269,6,jb,1.179973639,lose
270,7,jb,1.377288514,lose
271,8,jb,1.328766728,lose
272,9,jb,1.118435104,lose
273,10,jb,0.965938062,lose
274,11,jb,0.905087404,lose
275,12,jb,0.754865648,lose
276,13,jb,1.132563039,lose
277,14,jb,0.984510741,lose
278,15,jb,0.894663421,lose
279,16,jb,0.582314345,lose
280,17,jb,1.079861078,lose
281,18,jb,0.830955427,lose
282,19,jb,0.935883128,lose
283,20,jb,0.680204535,lose
284,21,jb,0.752114139,lose
285,22,jb,0.649197156,lose
286,1,chadlite,1.197165443,lose
287,2,chadlite,1.319983244,lose
288,3,chadlite,1.186287849,lose
289,4,chadlite,1.045031452,lose
290,5,chadlite,1.238120866,lose
291,6,chadlite,1.045959267,lose
292,7,chadlite,1.041451747,lose
293,8,chadlite,1.241963682,lose
294,9,chadlite,1.086693123,lose
295,10,chadlite,1.157207075,lose
296,11,chadlite,1.236265236,lose
297,12,chadlite,1.190019881,lose
298,13,chadlite,1.078169686,lose
299,14,chadlite,1.084768252,lose
300,15,chadlite,0.771706799,lose
301,16,chadlite,0.719548354,lose
302,17,chadlite,0.649761421,lose
303,18,chadlite,0.749453083,lose
304,19,chadlite,0.843342438,lose
305,20,chadlite,0.756363229,lose
306,21,chadlite,0.705963478,lose
307,22,chadlite,0.654774393,lose
308,1,whitecels,0.0,lose
309,2,whitecels,0.0,lose
310,3,whitecels,0.858384874,lose
311,4,whitecels,1.148471461,lose
312,5,whitecels,1.162042764,lose
313,6,whitecels,0.831100901,lose
314,7,whitecels,0.0,lose
315,8,whitecels,0.0,lose
316,9,whitecels,0.0,lose
317,10,whitecels,0.0,lose
318,11,whitecels,0.0,lose
319,12,whitecels,0.0,lose
320,13,whitecels,0.0,lose
321,14,whitecels,0.0,lose
322,15,whitecels,0.0,lose
323,16,whitecels,0.0,lose
324,17,whitecels,0.0,lose
325,18,whitecels,0.0,lose
326,19,whitecels,0.0,lose
327,20,whitecels,0.0,lose
328,21,whitecels,0.0,lose
329,22,whitecels,0.0,lose
330,1,cunt,1.216788719,lose
331,2,cunt,1.093157927,lose
332,3,cunt,1.349488898,lose
333,4,cunt,1.416287625,lose
334,5,cunt,0.954659967,lose
335,6,cunt,1.126301913,lose
336,7,cunt,1.23280164,lose
337,8,cunt,1.225319741,lose
338,9,cunt,1.546682496,lose
339,10,cunt,1.291939013,lose
340,11,cunt,1.076730879,lose
341,12,cunt,1.135481734,lose
342,13,cunt,0.933705128,lose
343,14,cunt,0.764023384,lose
344,15,cunt,0.784688335,lose
345,16,cunt,0.80188842,lose
346,17,cunt,0.763816321,lose
347,18,cunt,0.691081769,lose
348,19,cunt,0.65746844,lose
349,20,cunt,0.665461096,lose
350,21,cunt,0.74279246,lose
351,22,cunt,0.529434095,lose
352,1,slut,1.784084302,lose
353,2,slut,1.530444251,lose
354,3,slut,1.787366378,lose
355,4,slut,1.288552192,lose
356,5,slut,1.294165462,lose
357,6,slut,1.084940793,lose
358,7,slut,1.35466915,lose
359,8,slut,0.870286896,lose
360,9,slut,0.925560734,lose
361,10,slut,1.010219888,lose
362,11,slut,0.959991858,lose
363,12,slut,0.728360119,lose
364,13,slut,0.774692602,lose
365,14,slut,0.556357872,lose
366,15,slut,0.624253899,lose
367,16,slut,0.978764105,lose
368,17,slut,0.708575643,lose
369,18,slut,0.674006489,lose
370,19,slut,0.761349583,lose
371,20,slut,0.804584031,lose
372,21,slut,0.776226282,lose
373,22,slut,0.722547471,lose
374,1,deathnik,0.0,lose
375,2,deathnik,0.711983245,lose
376,3,deathnik,0.854204608,lose
377,4,deathnik,2.046394099,lose
378,5,deathnik,0.641549809,lose
379,6,deathnik,0.0,lose
380,7,deathnik,1.45113595,lose
381,8,deathnik,0.830301858,lose
382,9,deathnik,0.0,lose
383,10,deathnik,0.0,lose
384,11,deathnik,0.0,lose
385,12,deathnik,0.0,lose
386,13,deathnik,0.0,lose
387,14,deathnik,0.464430432,lose
388,15,deathnik,0.0,lose
389,16,deathnik,0.0,lose
390,17,deathnik,0.0,lose
391,18,deathnik,0.0,lose
392,19,deathnik,0.0,lose
393,20,deathnik,0.0,lose
394,21,deathnik,0.0,lose
395,22,deathnik,0.0,lose
396,1,roastie,1.607469717,lose
397,2,roastie,1.41284313,lose
398,3,roastie,1.876947765,lose
399,4,roastie,1.597513159,lose
400,5,roastie,1.153414638,lose
401,6,roastie,1.023985196,lose
402,7,roastie,1.275386832,lose
403,8,roastie,1.111490147,lose
404,9,roastie,1.013528776,lose
405,10,roastie,1.313661166,lose
406,11,roastie,0.876392157,lose
407,12,roastie,0.855450255,lose
408,13,roastie,0.813880318,lose
409,14,roastie,0.645746429,lose
410,15,roastie,0.571545951,lose
411,16,roastie,0.65138441,lose
412,17,roastie,0.767532628,lose
413,18,roastie,0.787434119,lose
414,19,roastie,0.729147859,lose
415,20,roastie,0.813304895,lose
416,21,roastie,0.478112402,lose
417,22,roastie,0.623828052,lose
418,1,femoid,2.845777406,lose
419,2,femoid,2.492867538,lose
420,3,femoid,2.756009246,lose
421,4,femoid,3.106072087,lose
422,5,femoid,1.909634895,lose
423,6,femoid,1.34943453,lose
424,7,femoid,1.062683327,lose
425,8,femoid,0.704218284,lose
426,9,femoid,0.798443604,lose
427,10,femoid,0.637946779,lose
428,11,femoid,0.43118142,lose
429,12,femoid,0.364935955,lose
430,13,femoid,0.368924397,lose
431,14,femoid,0.379865488,lose
432,15,femoid,0.311180954,lose
433,16,femoid,0.225310097,lose
434,17,femoid,0.349711303,lose
435,18,femoid,0.496528509,lose
436,19,femoid,0.670188495,lose
437,20,femoid,0.285926607,lose
438,21,femoid,0.283539617,lose
439,22,femoid,0.169619465,lose
